,description,question,choices,answer
11,a grid of interconnected purple lines,"['is this a grid?', 'what type of shape is this?', 'are there lines?', 'what type of shape is this?', 'are the lines interconnected?', 'are the lines purple?', 'what color are the lines?']","[['yes', 'no'], ['grid', 'circle', 'square', 'triangle'], ['yes', 'no'], ['lines', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['yes', 'no'], ['purple', 'red', 'blue', 'green']]","['yes', 'grid', 'yes', 'lines', 'yes', 'yes', 'purple']"
12,cyan stars scattered across a navy blue canvas,"['are there stars scattered across the canvas?', 'what is scattered across the canvas?', 'is this a canvas?', 'what type of material is this?', 'are the stars scattered across the canvas?', 'are the stars cyan?', 'what color are the stars?', 'is the canvas navy blue?', 'what color is the canvas?', 'are the stars scattered across the canvas?', 'are the stars scattered across or on the canvas?']","[['yes', 'no'], ['stars', 'planets', 'asteroids', 'comets'], ['yes', 'no'], ['canvas', 'paper', 'wood', 'glass'], ['yes', 'no'], ['yes', 'no'], ['cyan', 'red', 'yellow', 'blue'], ['yes', 'no'], ['navy blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['across', 'on', 'under', 'over']]","['yes', 'stars', 'yes', 'canvas', 'yes', 'yes', 'cyan', 'yes', 'navy blue', 'yes', 'across']"
13,Green circles arranged in concentric rings.,"['are there circles?', 'what shape is this?', 'are there rings?', 'what shape is this?', 'are the circles arranged in concentric rings?', 'are the circles green?', 'what color are the circles?', 'are the circles arranged in concentric rings?', 'are the circles arranged in concentric or radial rings?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['rings', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['concentric', 'radial', 'eccentric', 'spiral']]","['yes', 'circles', 'yes', 'rings', 'yes', 'yes', 'green', 'yes', 'concentric']"
14,a blue velvet cushion,"['is this a cushion?', 'what type of furniture is this?', 'is the cushion blue?', 'what color is the cushion?', 'is the cushion velvet?', 'what is the material of the cushion?']","[['yes', 'no'], ['cushion', 'chair', 'table', 'bed'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['velvet', 'cloth', 'leather', 'wood']]","['yes', 'cushion', 'yes', 'blue', 'yes', 'velvet']"
15,a vibrant red origami crane,"['is this an origami crane?', 'what type of object is this?', 'is the origami crane vibrant red?', 'what color is the origami crane?']","[['yes', 'no'], ['origami crane', 'origami bird', 'origami fish', 'origami flower'], ['yes', 'no'], ['vibrant red', 'pure red', 'red-orange', 'red-violet']]","['yes', 'origami crane', 'yes', 'vibrant red']"
16,a sunny yellow circle on a blue background,"['is there a circle on the background?', 'what shape is on the background?', 'is there a background?', 'what is behind the circle?', 'is the circle sunny yellow?', 'what color is the circle?', 'is the background blue?', 'what color is the background?']","[['yes', 'no'], ['circle', 'square', 'triangle', 'rectangle'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['sunny yellow', 'pure yellow', 'pale yellow', 'dark yellow'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green']]","['yes', 'circle', 'yes', 'background', 'yes', 'sunny yellow', 'yes', 'blue']"
17,A black and white checkered cube with red edges,"['is this a cube?', 'what shape is this?', 'is the cube black and white?', 'what color is the cube?', 'are the edges red?', 'what color are the edges?', 'is the cube checkered?', 'are the edges red?']","[['yes', 'no'], ['cube', 'sphere', 'cylinder', 'pyramid'], ['yes', 'no'], ['black and white', 'pure black', 'pure white', 'black and red'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no'], ['yes', 'no']]","['yes', 'cube', 'yes', 'black and white', 'yes', 'red', 'yes', 'yes']"
18,a bright yellow rain slicker with reflective stripes,"['is this a rain slicker?', 'what type of clothing is this?', 'is the rain slicker bright yellow?', 'what color is the rain slicker?', 'are the reflective stripes reflective?', 'what color are the reflective stripes?']","[['yes', 'no'], ['rain slicker', 'jacket', 't-shirt', 'pants'], ['yes', 'no'], ['bright yellow', 'dark yellow', 'bright orange', 'dark orange'], ['yes', 'no'], ['reflective stripes', 'solid stripes', 'dotted stripes', 'dashes']]","['yes', 'rain slicker', 'yes', 'bright yellow', 'yes', 'reflective stripes']"
19,a dark blue starry night sky with a crescent moon,"['is this a sky?', 'what type of place is this?', 'is there a moon?', 'what is in the sky?', 'is the sky dark blue?', 'what color is the sky?', 'is the sky starry?', 'is the moon crescent?', 'what shape is the moon?']","[['yes', 'no'], ['sky', 'park', 'forest', 'mountain'], ['yes', 'no'], ['moon', 'star', 'sun', 'cloud'], ['yes', 'no'], ['dark blue', 'light blue', 'red', 'green'], ['yes', 'no'], ['yes', 'no'], ['crescent', 'full', 'half', 'quarter']]","['yes', 'sky', 'yes', 'moon', 'yes', 'dark blue', 'yes', 'yes', 'crescent']"
20,red geometric shapes on a gray background,"['are there geometric shapes on the background?', 'what type of shapes are on the background?', 'is there a background?', 'what type of object is this?', 'are the geometric shapes red?', 'what color are the geometric shapes?', 'is the background gray?', 'what color is the background?', 'are the geometric shapes geometric?', 'are the geometric shapes geometric or natural?']","[['yes', 'no'], ['geometric shapes', 'natural shapes', 'human shapes', 'animal shapes'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['red', 'blue', 'yellow', 'green'], ['yes', 'no'], ['gray', 'black', 'white', 'brown'], ['yes', 'no'], ['geometric', 'natural', 'human', 'animal']]","['yes', 'geometric shapes', 'yes', 'background', 'yes', 'red', 'yes', 'gray', 'yes', 'geometric']"
21,a bright yellow rubber duck floating in a bathtub,"['is this a rubber duck?', 'what type of object is this?', 'is there a bathtub?', 'what type of container is this?', 'is the rubber duck floating?', 'what is the rubber duck doing?', 'is the rubber duck bright yellow?', 'what color is the rubber duck?']","[['yes', 'no'], ['rubber duck', 'toy', 'plastic duck', 'real duck'], ['yes', 'no'], ['bathtub', 'sink', 'toilet', 'shower'], ['yes', 'no'], ['floating', 'sinking', 'swimming', 'running'], ['yes', 'no'], ['bright yellow', 'bright red', 'bright blue', 'bright green']]","['yes', 'rubber duck', 'yes', 'bathtub', 'yes', 'floating', 'yes', 'bright yellow']"
22,A chrome mechanical gear intertwined with copper wires,"['is this a gear?', 'what type of object is this?', 'are there wires?', 'what type of object is this?', 'are the gear and wires intertwined?', 'is the gear chrome?', 'what color is the gear?', 'are the wires copper?', 'what color are the wires?', 'is this a mechanical gear?', 'is this a mechanical or an electrical gear?']","[['yes', 'no'], ['gear', 'wheel', 'shaft', 'pulley'], ['yes', 'no'], ['wires', 'cables', 'ropes', 'strings'], ['yes', 'no'], ['yes', 'no'], ['chrome', 'silver', 'gold', 'copper'], ['yes', 'no'], ['copper', 'silver', 'gold', 'chrome'], ['yes', 'no'], ['mechanical', 'electrical', 'chemical', 'biological']]","['yes', 'gear', 'yes', 'wires', 'yes', 'yes', 'chrome', 'yes', 'copper', 'yes', 'mechanical']"
23,a red leather handbag with a gold clasp,"['is this a handbag?', 'what type of bag is this?', 'is there a clasp?', 'what is on the handbag?', 'is the handbag red?', 'what color is the handbag?', 'is the clasp gold?', 'what color is the clasp?', 'is the handbag leather?', 'what is the material of the handbag?']","[['yes', 'no'], ['handbag', 'backpack', 'purse', 'briefcase'], ['yes', 'no'], ['clasp', 'handle', 'strap', 'zipper'], ['yes', 'no'], ['red', 'black', 'white', 'blue'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'metal']]","['yes', 'handbag', 'yes', 'clasp', 'yes', 'red', 'yes', 'gold', 'yes', 'leather']"
24,a desert landscape at sunset,"['is this a desert?', 'what type of place is this?', 'is this a landscape?', 'what type of place is this?', 'is this a sunset?', 'is this a sunset or a sunrise?']","[['yes', 'no'], ['desert', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['landscape', 'cityscape', 'seascape', 'skyscape'], ['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight']]","['yes', 'desert', 'yes', 'landscape', 'yes', 'sunset']"
25,Overlapping violet circles in a spiral pattern,"['are there circles in the spiral pattern?', 'what shape is in the spiral pattern?', 'is there a spiral pattern?', 'what type of pattern is this?', 'are the circles violet?', 'what color are the circles?', 'are the circles overlapping?', 'are the circles overlapping or not overlapping?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['spiral pattern', 'square pattern', 'triangle pattern', 'rectangle pattern'], ['yes', 'no'], ['violet', 'red', 'yellow', 'blue'], ['yes', 'no'], ['overlapping', 'not overlapping', 'intersecting', 'touching']]","['yes', 'circles', 'yes', 'spiral pattern', 'yes', 'violet', 'yes', 'overlapping']"
26,a silver fractal tree with shimmering leaves,"['is this a fractal tree?', 'what type of plant is this?', 'are there leaves on the tree?', 'what is on the tree?', 'is the tree silver?', 'what color is the tree?', 'are the leaves shimmering?', 'are the leaves shimmering or still?']","[['yes', 'no'], ['fractal tree', 'flowering tree', 'bush', 'grass'], ['yes', 'no'], ['leaves', 'branches', 'roots', 'flowers'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['shimmering', 'still', 'moving', 'fluttering']]","['yes', 'fractal tree', 'yes', 'leaves', 'yes', 'silver', 'yes', 'shimmering']"
27,a stylized yellow sun setting over calm water,"['is this a sun?', 'what type of object is this?', 'is there water?', 'what type of liquid is this?', 'is the sun setting?', 'what is the sun doing?', 'is the sun yellow?', 'what color is the sun?', 'is the sun stylized?', 'is the water calm?', 'is the water calm or rough?']","[['yes', 'no'], ['sun', 'moon', 'star', 'planet'], ['yes', 'no'], ['water', 'milk', 'juice', 'soda'], ['yes', 'no'], ['setting', 'rising', 'shining', 'disappearing'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['yes', 'no'], ['calm', 'rough', 'fast', 'slow']]","['yes', 'sun', 'yes', 'water', 'yes', 'setting', 'yes', 'yellow', 'yes', 'yes', 'calm']"
28,a target symbol with concentric red and white rings,"['is this a target symbol?', 'what type of symbol is this?', 'are there rings?', 'what is the target symbol surrounded by?', 'are the rings red and white?', 'what color are the rings?', 'are the rings concentric?', 'are the rings concentric or radiating?']","[['yes', 'no'], ['target symbol', 'star', 'heart', 'cross'], ['yes', 'no'], ['rings', 'lines', 'dots', 'squares'], ['yes', 'no'], ['red and white', 'red and blue', 'red and yellow', 'blue and white'], ['yes', 'no'], ['concentric', 'radiating', 'irregular', 'spiraling']]","['yes', 'target symbol', 'yes', 'rings', 'yes', 'red and white', 'yes', 'concentric']"
29,silver circles inside emerald squares in a grid,"['are there circles inside squares?', 'what shape is inside the square?', 'are there squares?', 'what shape is inside the square?', 'is there a grid?', 'what type of shape is this?', 'are the circles silver?', 'what color are the circles?', 'are the squares emerald?', 'what color are the squares?', 'are the circles inside the squares?', 'are the circles inside or outside of the squares?']","[['yes', 'no'], ['circles', 'triangles', 'rectangles', 'pentagons'], ['yes', 'no'], ['squares', 'triangles', 'rectangles', 'hexagons'], ['yes', 'no'], ['grid', 'circle', 'triangle', 'rectangle'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['inside', 'outside', 'on top of', 'under']]","['yes', 'circles', 'yes', 'squares', 'yes', 'grid', 'yes', 'silver', 'yes', 'emerald', 'yes', 'inside']"
30,silver wireframe sphere suspended in a void,"['is there a wireframe sphere?', 'what type of shape is this?', 'is there a void?', 'what type of place is this?', 'is the wireframe sphere suspended in a void?', 'is the wireframe sphere silver?', 'what color is the wireframe sphere?']","[['yes', 'no'], ['wireframe sphere', 'wireframe cube', 'wireframe cylinder', 'wireframe cone'], ['yes', 'no'], ['void', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper']]","['yes', 'wireframe sphere', 'yes', 'void', 'yes', 'yes', 'silver']"
31,a snow-covered pine forest under a grey sky,"['is this a pine forest?', 'what type of place is this?', 'is there a sky?', 'what type of place is this?', 'is the pine forest snow-covered?', 'what color is the pine forest?', 'is the pine forest under the sky?', 'is the pine forest under or next to the sky?', 'is the sky grey?', 'what color is the sky?']","[['yes', 'no'], ['pine forest', 'oak forest', 'maple forest', 'birch forest'], ['yes', 'no'], ['sky', 'earth', 'sea', 'space'], ['yes', 'no'], ['snow-covered', 'snow-free', 'icy', 'frozen'], ['yes', 'no'], ['under', 'next to', 'behind', 'in front of'], ['yes', 'no'], ['grey', 'black', 'white', 'yellow']]","['yes', 'pine forest', 'yes', 'sky', 'yes', 'snow-covered', 'yes', 'under', 'yes', 'grey']"
32,"A blue star shape positioned prominently in the center, with a slight drop shadow effect.","['is this a star shape?', 'what shape is this?', 'is the star shape blue?', 'what color is the star shape?', 'is the star shape positioned?', 'is the star shape prominently positioned?', 'is there a slight drop shadow effect?']","[['yes', 'no'], ['star shape', 'circle', 'square', 'triangle'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yes', 'no'], ['yes', 'no']]","['yes', 'star shape', 'yes', 'blue', 'yes', 'yes', 'yes']"
33,A cyan desert at sunrise,"['is this a desert?', 'what type of place is this?', 'is the desert cyan?', 'what color is the desert?', 'is this a sunrise?', 'is this a sunrise or a sunset?']","[['yes', 'no'], ['desert', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['cyan', 'red', 'yellow', 'blue'], ['yes', 'no'], ['sunrise', 'sunset', 'noon', 'midnight']]","['yes', 'desert', 'yes', 'cyan', 'yes', 'sunrise']"
34,light brown leather boots with laces,"['are these boots?', 'what type of footwear is this?', 'are there laces?', 'what is on the boots?', 'are the boots light brown?', 'what color are the boots?', 'are the boots leather?', 'what is the material of the boots?']","[['yes', 'no'], ['boots', 'shoes', 'sandals', 'slippers'], ['yes', 'no'], ['laces', 'buttons', 'zippers', 'shoelaces'], ['yes', 'no'], ['light brown', 'dark brown', 'black', 'white'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'rubber']]","['yes', 'boots', 'yes', 'laces', 'yes', 'light brown', 'yes', 'leather']"
35,a single vibrant red rose with green leaves,"['is this a rose?', 'what type of flower is this?', 'are there leaves on the rose?', 'what is on the rose?', 'is the rose vibrant red?', 'what color is the rose?', 'are the leaves green?', 'what color are the leaves?', 'is this a single rose?', 'is this a single or a group of roses?']","[['yes', 'no'], ['rose', 'tulip', 'lily', 'sunflower'], ['yes', 'no'], ['leaves', 'branches', 'roots', 'flowers'], ['yes', 'no'], ['vibrant red', 'pure red', 'dark red', 'light red'], ['yes', 'no'], ['green', 'red', 'yellow', 'blue'], ['yes', 'no'], ['single', 'group', 'pair', 'cluster']]","['yes', 'rose', 'yes', 'leaves', 'yes', 'vibrant red', 'yes', 'green', 'yes', 'single']"
36,A classic brown leather briefcase with brass buckles,"['is this a briefcase?', 'what type of bag is this?', 'are there buckles on the briefcase?', 'what type of closure is on the briefcase?', 'is the briefcase brown?', 'what color is the briefcase?', 'is the briefcase classic?', 'is the briefcase classic or modern?', 'is the briefcase leather?', 'what is the material of the briefcase?', 'are the buckles brass?']","[['yes', 'no'], ['briefcase', 'backpack', 'purse', 'suitcase'], ['yes', 'no'], ['buckles', 'zippers', 'clasps', 'buttons'], ['yes', 'no'], ['brown', 'black', 'white', 'yellow'], ['yes', 'no'], ['classic', 'modern', 'antique', 'vintage'], ['yes', 'no'], ['leather', 'cloth', 'plastic', 'metal'], ['yes', 'no']]","['yes', 'briefcase', 'yes', 'buckles', 'yes', 'brown', 'yes', 'classic', 'yes', 'leather', 'yes']"
37,A single yellow tulip in a clay pot.,"['is there a tulip in the clay pot?', 'what type of flower is this?', 'is there a clay pot?', 'what type of container is this?', 'is the tulip yellow?', 'what color is the tulip?', 'is this a single tulip?', 'is this a single or a group of tulips?']","[['yes', 'no'], ['tulip', 'rose', 'lily', 'daisy'], ['yes', 'no'], ['clay pot', 'bowl', 'cup', 'glass'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['single', 'group', 'pair', 'set']]","['yes', 'tulip', 'yes', 'clay pot', 'yes', 'yellow', 'yes', 'single']"
38,a caramel swirl donut with pink icing and sprinkles,"['is this a donut?', 'what type of food is this?', 'is there icing on the donut?', 'what is on the donut?', 'are there sprinkles on the donut?', 'what is on the donut?', 'is the donut caramel?', 'what color is the donut?', 'is the icing pink?', 'what color is the icing?']","[['yes', 'no'], ['donut', 'cake', 'cookie', 'pie'], ['yes', 'no'], ['icing', 'frosting', 'glaze', 'jam'], ['yes', 'no'], ['sprinkles', 'nuts', 'seeds', 'raisins'], ['yes', 'no'], ['caramel', 'chocolate', 'vanilla', 'strawberry'], ['yes', 'no'], ['pink', 'black', 'white', 'yellow']]","['yes', 'donut', 'yes', 'icing', 'yes', 'sprinkles', 'yes', 'caramel', 'yes', 'pink']"
39,Olive green canvas backpack with brown leather straps,"['is this a backpack?', 'what type of bag is this?', 'are there leather straps?', 'what type of straps are these?', 'is the backpack olive green?', 'what color is the backpack?', 'are the leather straps brown?', 'what color are the leather straps?', 'is the backpack canvas?', 'what is the material of the backpack?', 'are the leather straps brown leather?']","[['yes', 'no'], ['backpack', 'purse', 'briefcase', 'suitcase'], ['yes', 'no'], ['leather', 'canvas', 'rope', 'plastic'], ['yes', 'no'], ['olive green', 'black', 'white', 'red'], ['yes', 'no'], ['brown', 'black', 'white', 'red'], ['yes', 'no'], ['canvas', 'leather', 'plastic', 'paper'], ['yes', 'no']]","['yes', 'backpack', 'yes', 'leather', 'yes', 'olive green', 'yes', 'brown', 'yes', 'canvas', 'yes']"
40,polished cherry wood desk with brass handles,"['is this a desk?', 'what type of furniture is this?', 'are there handles on the desk?', 'what is on the desk?', 'are the handles brass?', 'what is the material of the handles?', 'is the desk cherry wood?', 'what is the material of the desk?', 'is the desk polished?', 'is the desk polished or unpolished?']","[['yes', 'no'], ['desk', 'chair', 'table', 'bed'], ['yes', 'no'], ['handles', 'legs', 'feet', 'wheels'], ['yes', 'no'], ['brass', 'iron', 'steel', 'aluminum'], ['yes', 'no'], ['cherry wood', 'oak', 'pine', 'maple'], ['yes', 'no'], ['polished', 'unpolished', 'scratched', 'dented']]","['yes', 'desk', 'yes', 'handles', 'yes', 'brass', 'yes', 'cherry wood', 'yes', 'polished']"
41,A vibrant sunset over a mountain range.,"['is this a sunset?', 'is this a sunset or a sunrise?', 'is this a mountain range?', 'what type of place is this?', 'is this a vibrant sunset?', 'is this a vibrant or a dull sunset?']","[['yes', 'no'], ['sunset', 'sunrise', 'noon', 'midnight'], ['yes', 'no'], ['mountain range', 'hill', 'valley', 'plain'], ['yes', 'no'], ['vibrant', 'dull', 'bright', 'dark']]","['yes', 'sunset', 'yes', 'mountain range', 'yes', 'vibrant']"
42,A flock of birds in flight,"['are there birds?', 'what animals are in the picture?', 'are the birds flying?', 'what are the birds doing?', 'is this a flock of birds?', 'what type of group is this?', 'are the birds in flight?', 'are the birds in flight or on the ground?']","[['yes', 'no'], ['birds', 'dogs', 'cats', 'fish'], ['yes', 'no'], ['flying', 'swimming', 'running', 'jumping'], ['yes', 'no'], ['flock', 'herd', 'school', 'team'], ['yes', 'no'], ['in flight', 'on the ground', 'in the water', 'in the air']]","['yes', 'birds', 'yes', 'flying', 'yes', 'flock', 'yes', 'in flight']"
43,Sunlight filtering through a canopy of translucent emerald leaves,"['is there a canopy of leaves?', 'what type of structure is this?', 'are there leaves?', 'what is the canopy made of?', 'is the sunlight filtering through the leaves?', 'are the leaves translucent?', 'are the leaves translucent or opaque?', 'are the leaves emerald?', 'what color are the leaves?']","[['yes', 'no'], ['canopy', 'roof', 'ceiling', 'wall'], ['yes', 'no'], ['leaves', 'branches', 'roots', 'flowers'], ['yes', 'no'], ['yes', 'no'], ['translucent', 'opaque', 'transparent', 'reflective'], ['yes', 'no'], ['emerald', 'green', 'red', 'blue']]","['yes', 'canopy', 'yes', 'leaves', 'yes', 'yes', 'translucent', 'yes', 'emerald']"
44,silver gears meshing with brass cogs,"['are there gears meshing with cogs?', 'what type of object is this?', 'are there cogs?', 'what type of object is this?', 'are the gears meshing with the cogs?', 'are the gears silver?', 'what color are the gears?', 'are the cogs brass?', 'what color are the cogs?']","[['yes', 'no'], ['gears', 'wheels', 'belts', 'chains'], ['yes', 'no'], ['cogs', 'wheels', 'belts', 'chains'], ['yes', 'no'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['brass', 'gold', 'bronze', 'copper']]","['yes', 'gears', 'yes', 'cogs', 'yes', 'yes', 'silver', 'yes', 'brass']"
45,crimson waves crashing against an obsidian cliff,"['are there waves crashing against the cliff?', 'what type of object is this?', 'is there a cliff?', 'what type of object is this?', 'are the waves crashing against the cliff?', 'are the waves crimson?', 'what color are the waves?', 'is the cliff obsidian?', 'what color is the cliff?']","[['yes', 'no'], ['waves', 'clouds', 'rain', 'snow'], ['yes', 'no'], ['cliff', 'mountain', 'hill', 'valley'], ['yes', 'no'], ['yes', 'no'], ['crimson', 'blue', 'red', 'green'], ['yes', 'no'], ['obsidian', 'black', 'white', 'yellow']]","['yes', 'waves', 'yes', 'cliff', 'yes', 'yes', 'crimson', 'yes', 'obsidian']"
